filename,Train,Test,Valid,Total,Percentage
100Mesa-de-trabajo-1_png_jpg.rf.4f218b78779f8053e80a51b409e42b08.jpg,0,1,0,1,0.01
101Mesa-de-trabajo-1_png_jpg.rf.165356944ba02a695063114674de29f2.jpg,1,0,0,1,0.01
102Mesa-de-trabajo-1_png_jpg.rf.48e94cbd794abdbf9eac52685e17b0fc.jpg,1,0,0,1,0.01
103Mesa-de-trabajo-1_png_jpg.rf.d658d36992f0bffe9c44106d0b41eedc.jpg,1,0,0,1,0.01
104Mesa-de-trabajo-1_png_jpg.rf.a01b30f3c2b1e1459053d695580c241a.jpg,1,0,0,1,0.01
105Mesa-de-trabajo-1_png_jpg.rf.4ebbdc91288ef738f1390fffae216e45.jpg,1,0,0,1,0.01
106Mesa-de-trabajo-1_png_jpg.rf.969fbcaeed9fb18ec816ea145c04a909.jpg,1,0,0,1,0.01
107Mesa-de-trabajo-1_png_jpg.rf.71033ebe7d1099bff3268cc7f20bfaec.jpg,1,0,0,1,0.01
108Mesa-de-trabajo-1_png_jpg.rf.d5ed3c5e5ae69b8b9789c956674511dd.jpg,0,0,1,1,0.01
109Mesa-de-trabajo-1_png_jpg.rf.f7db9bc82ec244623b3b2df04dc4c216.jpg,0,0,1,1,0.01
10Mesa-de-trabajo-1_png_jpg.rf.45b4801ac499fcd5b38f4204efd4381d.jpg,1,0,0,1,0.01
110Mesa-de-trabajo-1_png_jpg.rf.f4a91e206a6567ed8f2e5892445813c8.jpg,1,0,0,1,0.01
111Mesa-de-trabajo-1_png_jpg.rf.ead2d52daa3c3ddf2018924624d1945d.jpg,1,0,0,1,0.01
112Mesa-de-trabajo-1_png_jpg.rf.bb9fe81440fdc634b9bf1be08d7b081f.jpg,1,0,0,1,0.01
113Mesa-de-trabajo-1_png_jpg.rf.d03872bd6df7ffcc800e647c9f7c911c.jpg,1,0,0,1,0.01
114Mesa-de-trabajo-1_png_jpg.rf.daf0723fcb6b2058f0672e9e87afc7d2.jpg,0,1,0,1,0.01
