filename,Plastic
OTHERS-499_jpg.rf.e1b170ac9cf6723a978b4acfa45eaab3.jpg,1
OTHERS-497_jpg.rf.54694e4df6af34e7ecb8b286d6138446.jpg,1
OTHERS-498_jpg.rf.d5231c0dd06c6234cd725ad35b1c6db2.jpg,1
OTHERS-1255_jpg.rf.50dc38ba5c1c3783324edbee8ff7ed36.jpg,1
OTHERS-712_jpg.rf.66d23b613305fbc92f363e1c4527c828.jpg,1
PP-124_jpg.rf.2763dba46dc04c07018a8d0bd07a8e22.jpg,1
LDPE-406_jpg.rf.938d3e48332a6a8e95662e875e74f856.jpg,1
PET-875_jpg.rf.9e2694bdf5f23424e38671f673e61c45.jpg,1
OTHERS-1254_jpg.rf.a74ef10346da18dd484e2a941fc689af.jpg,1
OTHERS-495_jpg.rf.3ef411d523f4b297fb7e74b2021ada1b.jpg,1
OTHERS-26_jpg.rf.3082f8561f511f37cc99bf11907d1d78.jpg,1
OTHERS-500_jpg.rf.ed91bceb827396769d5290729664dd41.jpg,1
PP-125_jpg.rf.ba53c60d2439f212d352d19c0b8cef3e.jpg,1
OTHERS-126_jpg.rf.6ac7b674c453d77fb7f4e38e10e714af.jpg,1
HDPE-303_jpg.rf.408b6a7bc75803093cae4eba5412fca5.jpg,1
PET-872_jpg.rf.6b8367b904c2472301d72db7ef9cf9ea.jpg,1
OTHERS-268_jpg.rf.5820777c9b1563675c12b12f07839e5e.jpg,1
PP-121_jpg.rf.d2c83276b8655c12b0f0a9de3eaddc3b.jpg,1
PS-681_jpg.rf.d33ef378d3540e6cbe79d50792f5142f.jpg,1
PP-123_jpg.rf.8563e49c46121122448763c46862ddb9.jpg,1
PP-201_jpg.rf.6caa91cbf57dbfbfca70310c0b6683b1.jpg,1
PET-876_jpg.rf.dfa4425eb6ecc6efc674f779b320d6b9.jpg,1
PP-11_jpg.rf.c1840c9e4bad4a0a18b2db4ca35a03ff.jpg,1
OTHERS-70_jpg.rf.cd1a626ebc9399006e3f976ae7aeeea7.jpg,1
OTHERS-1270_jpg.rf.472a5d09a7d47d2da8d9c2b30904cb29.jpg,1
OTHERS-713_jpg.rf.50f43401b247237cdceb559aa88d46c3.jpg,1
PET-87_jpg.rf.35b33f82b4b4f74f8cba3b888fa08098.jpg,1
PET-877_jpg.rf.ab32518e0ccba0f188d695fac20af43a.jpg,1
PET-88-_jpg.rf.d9c03636037402c25da5f431b96432ec.jpg,1
PET-871_jpg.rf.a6d8e7c15dc3648f5b8a0a1ceabbd989.jpg,1
HDPE-68_jpg.rf.35f180eb4cfabe669db357c8c56a9532.jpg,1
OTHERS-704_jpg.rf.7632d3e49e2c94252d8bc5456e46e158.jpg,1
OTHERS-267_jpg.rf.32e8f3d57f20fc089afd4d2bc2b906be.jpg,1
PET-752_jpg.rf.bac3623360c893ae25e0fa5a0ee8ad29.jpg,1
PP-127_jpg.rf.4baf82c8a4a57990124f28b4e75317f4.jpg,1
LDPE-408_jpg.rf.bb42a8ba66a4a2379ce20a234054beb7.jpg,1
OTHERS-49_jpg.rf.c3bd20ed541e68594527aa55db9fd85c.jpg,1
OTHERS-501_jpg.rf.0f43a2eb5832d49496fc689a69ac27e6.jpg,1
327Mesa-de-trabajo-1_png_jpg.rf.2f2dee8093e1da3044d73baf1b293a97.jpg,0
PP-202_jpg.rf.2de1d01ed89c7df3fcab136708020639.jpg,1
OTHERS-1253_jpg.rf.678fe3a9fdde675a00eb4f0175fee971.jpg,1
PS-683_jpg.rf.f8a9d5165b1209bd37662b0abe8e3667.jpg,1
PET-870_jpg.rf.164c55bce4251fa733703f7d2cadbe52.jpg,1
PP-11_jpg.rf.79203c13d50bcc41c96382ff186583a5.jpg,1
OTHERS-266_jpg.rf.1fe9abd530caa8afbd7d71d5f5f2493a.jpg,1
218Mesa-de-trabajo-1_png_jpg.rf.dd5456d174bf2d70d9804ceaef35539a.jpg,0
PET-881_jpg.rf.2ebdf859c43a46011b14955591e5c52b.jpg,1
21Mesa-de-trabajo-1_png_jpg.rf.2215b30c2ac1f35173ada73fddadb93d.jpg,1
OTHERS-716_jpg.rf.f64bb722b96b0785b9961da0ee014c8f.jpg,1
OTHERS-269_jpg.rf.8c19a84f94e84bd92350390efb5dc194.jpg,1
OTHERS-1252_jpg.rf.9783ec229f9edca3697ca28605a57dce.jpg,1
OTHERS-90_jpg.rf.7b724103fdbbb0bc2e301bc39d9ef01a.jpg,1
PET-880_jpg.rf.be1f8118f4465d11097d79142450ef9a.jpg,1
OTHERS-81_jpg.rf.294f484be8c1b6b87dc9fe401c638a08.jpg,1
OTHERS-504_jpg.rf.230a92324fbad91c9cda5362dd719767.jpg,1
HDPE-785_jpg.rf.53ad26e94789110b7ae47461024b23be.jpg,1
OTHERS-714_jpg.rf.245c5b0d85c61f7b1437858cd395eb61.jpg,1
PET-883_jpg.rf.cbc3f58d2c516b42e6e86cfa269faf7c.jpg,1
OTHERS-887_jpg.rf.22594aea6245445a8d2e1f6e70326737.jpg,1
OTHERS-1256_jpg.rf.ea71b1879849a5d00e04edf72d1048cb.jpg,1
OTHERS-503_jpg.rf.e183a263eb3d5a4132d2d88adf89a3bc.jpg,1
PET-887_jpg.rf.579e870219b743edb2bdbdbc74083f92.jpg,1
OTHERS-715_jpg.rf.181e2f59d6c25b2013ace88ffde3b363.jpg,1
PET-79-_jpg.rf.e0b41349468619efcd2d5fbe7da3afaa.jpg,1
PET-886_jpg.rf.8a02565709ccf1f9874e519adad80e98.jpg,1
OTHERS-821_jpg.rf.93f28ab60c9b555ffb94fca3a7e622b8.jpg,1
LDPE-402_jpg.rf.87d135be8558037555cce44270c5ed3a.jpg,1
HDPE-784_jpg.rf.436ce0521cdbabb9869298a6c1639e8a.jpg,1
PP-2-_JPG_jpg.rf.c45dc616f9038aaef2d40947b8134519.jpg,1
